2,361469,---,[ViewMgmt] Improve PartStack keyboard accessibility,normal
0,362532,---,[CSS] Re-enable dynamic CSS pseudo-classes,normal
1,363069,---,[KeyBindings] [Compatibility] multi-stroke key bindings should provide status line indication,enhancement
0,364566,---,"[Contributions] [performance] Huge regression in performance test ObjectContributionsPerformance#testObjectContributions:limited selection, limited contributors()",normal
0,364838,---,[Contributions] [Compatibility] NPE in PopupMenuExtender#cleanUpContributionCache while running SWTBot,normal
0,364975,---,[patch][Presentations] Icons from one view's toolbar flicker in the top left view's title area,normal
0,365592,---,[Workbench] UI Event subscriber should use @UIEventTopic instead of EventBroker.subscribe where possible,normal
1,365804,---,[BiDi] [Bidi] HEW TVT : RTL affecting path names and negative numbers.,normal
0,366080,---,expanding java editor that is not the currently selected editor causes screen painting issues,normal
1,366543,---,[Progress] Text in progress dialog is truncated even if progress dialog has plenty of space,minor
3,366554,---,[Commands] [Compatibility] failures in CommandsTestSuite,normal
2,366564,---,[Commands] [Compatibility] command state not properly represented in Eclipse 4,normal
2,366595,---,[Workbench] [Compatibility] Failures in ServicesTestSuite,normal
1,366991,---,"[Markers] NPE in MarkerGroup.addEntry() by opening the Problems view via ""Ctrl+3""",normal
0,368187,---,Services pre-API cleanup,normal
1,368470,---,[IDE] Editor Selection dialog displays Bidirectional strings in left-to-right orientation,normal
1,368558,---,[CSS] Main tool bar should have its style bits defined by CSS,normal
0,368588,---,[Workbench] Workbench window toolbar configuration always goes to right justification,normal
0,369237,---,[Model] Are we using org.eclipse.e4.emf.xpath?,normal
1,369796,---,[CSS] Enable unibrow editor mode in CSS,normal
0,369882,---,[Contributions] visibleWhen and checkenabled=true not working correctly in menu,normal
1,369978,---,[ViewMgmt] Regression in traversal of editor tabs from 3.x to 4.x,normal
1,370811,---,[Contributions] View menu doesn't update when adding item to menu model,normal
0,371586,---,[Markers] Searching for markers: IllegalArgumentException: Comparison method violates its general contract!,minor
0,371665,---,[CSS] Need a low colour or high contrast theme in 4.2,normal
0,371934,---,[Contributions] [Perspectives] [Compatibility] Extra/incorrect categories in the CPD,normal
2,372247,---,[KeyBindings] interactions: Mnemonics should not work across workbench parts,normal
1,372393,---,[Compatibility] Remove MRenderedToolBar and its associated renderer,normal
0,372448,---,[CSS] Colour mismatch in the workbench toolbar,normal
1,372508,---,[Contributions] CoreExpressions for first level MMenus under MMenu bar are not evaluated,normal
0,372799,---,[Workbench] [GlobalActions] ViewPart cannot adapt ISaveablePart any longer but must implement it.,normal
2,373007,---,[Contributions] Missing context menu on workbench window toolbar (Customize Perspective...),normal
1,373011,---,[Contributions] Action#setText(String) does not update in 4.2,normal
1,373015,---,[CSS] Provide support for system theme properties in CSS,enhancement
1,373016,---,[CSS] Provide support for font size as a percentage in CSS,enhancement
3,373294,---,Improve startup time,major
0,374051,---,[JFace] SWTFocusBlockManager & FocusBlockHighlighter,enhancement
1,374132,---,[Workbench] [Compatibility][api] IWorkbenchPage's showEditor(*) and hideEditor(*) methods are unimplemented,major
1,374307,---,[Workbench] 3.x bridge - how we make corresponding 4.x elements,major
2,374894,---,[ActionSets] [Contributions] WWinPluginActions need to clean up on part close,major
0,375401,---,[Intro] Minimizing Welcome/Intro hides toolbars,normal
0,375734,---,[Trim] make contributed trims moveable,normal
1,376302,---,[CSS] editor ruler not/hardly visible,normal
1,376491,---,[KeyBindings] Compare editor shortcuts,normal
1,377293,---,[Commands] [Compatibility] ICommandService/IExecutionListener pattern needs re-visit,normal
1,377448,---,[DynamicGUI] Contributions Made Through IExtensionRegistry.addContribution May Or May Not Show Up,minor
1,377906,---,[Model] Model / SWT interactions are not well enough defined,normal
2,377999,---,[RenderingEngine] Support per-element renderers,normal
1,378106,---,[Contributions] [Compatibility] Changes to DirectContributionItems should update corresponding actions,normal
2,378408,---,[WorkbenchParts] Need to re-examine how we manage the various 'firePart...' events as well as how we respond to them,normal
0,378591,---,[Contributions] Popupmenu: hide menu item by evaluating outcome of @CanExecute-annotated method,enhancement
1,378798,---,[WorkbenchLauncher] bidi2012 - Incorrect display of Workspace path with Hebrew in workspace list,normal
5,378811,---,[Perspectives] Support separation of the Workspace and the saved UI Model (was: can't save and import perspectives),enhancement
1,378815,---,Need better story for handling model elements that should disappear on startup,normal
1,378861,---,[Contributions] Context Menu not available for Dialogs,normal
1,378873,---,"""Configuration"" menu contribution at wrong position in Java editor breadcrumb",normal
1,378939,---,[Workbench] Request to close the lifecycle of the application model,enhancement
1,379094,---,bidi2012 - Error when paste project path with Hebrew to Windows Explorer,normal
1,379257,---,[GlobalActions] Registering actions should not be required to use standard org.eclipse.ui commands,enhancement
2,379396,---,[RenderingEngine] How to set the style of the application window,normal
0,379557,---,[Trim] [Min/Max] Maximize animations problematic on multi-monitor setups,minor
